Index,Image,Correct,Face Mask Count,No Face Mask Count,Ensemble,Mouth Detection,Image Classification,Greyscale
1,Person1,1,1,0,,,,
2,Person2,1,1,0,,,,
3,Person3,1,1,0,,,,
4,Person4,1,2,0,,,,
5,Person5,1,3,1,,,,
6,Person6,1,1,0,,,,
7,Person7,1,2,0,,,,
8,Person8,1,2,0,,,,
9,Person9,1,1,0,,,,
10,Person10,1,1,0,,,,
11,Person11,1,1,0,,,,
12,Person12,1,1,0,,,,
13,Person13,1,1,0,,,,
14,Person14,1,2,0,,,,
15,Person15,1,1,0,,,,
16,Person16,1,1,0,,,,
17,Person17,1,1,0,,,,
18,Person18,1,1,0,,,,
19,Person19,1,1,0,,,,
20,Person20,1,1,0,,,,
21,Person21,1,1,0,,,,
22,Person22,1,3,0,,,,
23,Person23,1,4,0,,,,
24,Person24,1,2,0,,,,
25,Person25,1,1,0,,,,
26,Person26,1,1,0,,,,
27,Person27,1,1,0,,,,
28,Person28,1,1,0,,,,
29,Person29,1,5,0,,,,
30,Person30,1,2,0,,,,
31,Person31,1,2,0,,,,
32,Person32,1,3,0,,,,
33,Person33,1,1,0,,,,
34,Person34,1,1,0,,,,
35,Person35,1,1,0,,,,
36,Person36,1,3,0,,,,
37,Person37,1,3,0,,,,
38,Person38,1,1,1,,,,
39,Person39,1,1,0,,,,
40,Person40,1,1,0,,,,
41,Person41,1,1,0,,,,
42,Person42,1,1,0,,,,
43,Person43,1,1,0,,,,
44,Person44,1,1,0,,,,
45,Person45,1,1,0,,,,
46,Person46,1,2,0,,,,
47,Person47,1,1,0,,,,
48,Person48,1,1,0,,,,
49,Person49,1,1,0,,,,
50,Person50,1,4,0,,,,
51,Person51,1,1,0,,,,
52,Person52,0,0,1,,,,
53,Person53,0,0,1,,,,
54,Person54,0,0,9,,,,
55,Person55,0,0,1,,,,
56,Person56,0,0,1,,,,
57,Person57,0,0,5,,,,
58,Person58,0,0,1,,,,
59,Person59,0,0,1,,,,
60,Person60,0,0,1,,,,
61,Person61,0,0,2,,,,
62,Person62,0,0,1,,,,
63,Person63,0,0,2,,,,
64,Person64,0,0,1,,,,
65,Person65,0,0,1,,,,
66,Person66,0,0,3,,,,
67,Person67,0,0,3,,,,
68,Person68,0,0,1,,,,
69,Person69,0,0,1,,,,
70,Person70,0,0,1,,,,
71,Person71,0,0,1,,,,
72,Person72,0,0,1,,,,
73,Person73,0,0,1,,,,
74,Person74,0,0,1,,,,
75,Person75,0,0,1,,,,
76,Person76,0,0,6,,,,
77,Person77,0,0,1,,,,
78,Person78,0,0,1,,,,
79,Person79,0,0,1,,,,
80,Person80,0,0,1,,,,
81,Person81,0,0,1,,,,
82,Person82,0,0,1,,,,
83,Person83,0,0,1,,,,
84,Person84,0,0,1,,,,
85,Person85,0,0,1,,,,
86,Person86,0,0,3,,,,
87,Person87,0,0,1,,,,
88,Person88,0,0,1,,,,
89,Person89,0,0,1,,,,
90,Person90,0,0,1,,,,
91,Person91,0,0,1,,,,
92,Person92,0,0,5,,,,
93,Person93,0,0,1,,,,
94,Person94,0,0,3,,,,
95,Person95,0,0,3,,,,
96,Person96,0,0,1,,,,
97,Person97,0,0,1,,,,
98,Person98,0,0,1,,,,
99,Person99,0,0,1,,,,
100,Person100,0,0,1,,,,
101,Person101,0,0,1,,,,
102,Person102,0,0,1,,,,
